Team,GM,3FG,3FGA,3FG%,FGM,FGA,FG%,BLKS,BKPG,ST,STPG,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,W,L,WL%,REB,RPG,OPP REB,OPP RPG,REB MAR
A&M-Corpus Christi (Southland),24,153,464,33,542,1296,41.8,74,3.1,165,6.9,1554,64.8,1716,71.5,-6.8,5,19,20.8,817,34,870,36.2,-2.2
Abilene Christian (Southland),29,221,643,34.4,786,1752,44.9,86,3,282,9.7,2196,75.7,1753,60.4,15.3,24,5,82.8,1047,36.1,985,34,2.1
Air Force (Mountain West),25,174,527,33,522,1170,44.6,62,2.5,177,7.1,1468,58.7,1798,71.9,-13.2,5,20,20,578,23.1,865,34.6,-11.5
Akron (MAC),23,217,652,33.3,628,1415,44.4,84,3.7,113,4.9,1798,78.2,1660,72.2,6,15,8,65.2,895,38.9,837,36.4,2.5
Alabama A&M (SWAC),33,348,989,35.2,924,2125,43.5,143,4.3,280,8.5,2629,79.7,2313,70.1,9.6,26,7,78.8,1343,40.7,1254,38,2.7
Alabama St. (SWAC),15,83,286,29,347,868,40,54,3.6,82,5.5,950,63.3,1008,67.2,-3.9,6,9,40,577,38.5,582,38.8,-0.3
Alabama (SEC),18,111,350,31.7,383,1009,38,43,2.4,110,6.1,1156,64.2,1288,71.6,-7.3,4,14,22.2,653,36.3,677,37.6,-1.3
Albany (NY) (America East),16,102,303,33.7,395,883,44.7,29,1.8,98,6.1,1110,69.4,1099,68.7,0.7,7,9,43.8,480,30,522,32.6,-2.6
Alcorn (SWAC),19,113,376,30.1,435,1107,39.3,30,1.6,144,7.6,1256,66.1,1437,75.6,-9.5,6,13,31.6,608,32,663,34.9,-2.9
American (Patriot),10,90,238,37.8,248,557,44.5,47,4.7,73,7.3,691,69.1,736,73.6,-4.5,4,6,40,326,32.6,351,35.1,-2.5
App State (Sun Belt),29,233,737,31.6,690,1688,40.9,107,3.7,230,7.9,2039,70.3,1860,64.1,6.2,17,12,58.6,1053,36.3,1020,35.2,1.1
Arizona St. (Pac-12),26,174,468,37.2,667,1492,44.7,104,4,152,5.8,1961,75.4,1783,68.6,6.8,17,9,65.4,997,38.3,812,31.2,7.1
Arizona (Pac-12),25,179,537,33.3,656,1515,43.3,82,3.3,182,7.3,1858,74.3,1927,77.1,-2.8,11,14,44,796,31.8,990,39.6,-7.8
Ark.-Pine Bluff (SWAC),25,123,400,30.8,524,1356,38.6,95,3.8,160,6.4,1549,62,1921,76.8,-14.9,4,21,16,807,32.3,922,36.9,-4.6
Arkansas St. (Sun Belt),32,233,702,33.2,935,2071,45.1,158,4.9,251,7.8,2604,81.4,2264,70.8,10.6,25,7,78.1,1271,39.7,1144,35.8,4
Arkansas (SEC),24,154,402,38.3,621,1390,44.7,68,2.8,158,6.6,1741,72.5,1667,69.5,3.1,11,13,45.8,892,37.2,806,33.6,3.6
Army West Point (Patriot),22,172,527,32.6,587,1286,45.6,32,1.5,138,6.3,1578,71.7,1529,69.5,2.2,12,10,54.5,761,34.6,775,35.2,-0.6
