Scoring Margin,eFG%,SPG+BPG,Rebound Margin,Win Percentage
1,1,1,1,1
2,1,2,2,2
1,2,1,1,1
2,2,1,2,2
2,2,2,2,2
1,1,1,2,1
1,1,1,1,1
2,1,1,1,1
1,1,1,1,1
1,2,2,1,1
2,1,2,2,2
2,1,1,2,2
1,1,2,1,1
1,1,1,1,1
2,1,2,2,2
2,1,1,2,1
2,2,1,2,2
2,2,2,2,1
2,2,1,2,2
2,2,1,2,1
2,2,2,2,2
2,2,2,2,2
1,1,1,2,1
2,2,1,2,2
1,1,2,1,1
1,1,1,2,1
2,1,1,1,2
2,1,1,2,1
2,2,1,2,2
2,2,1,1,1
2,2,2,2,2
1,1,1,1,1
2,2,1,2,2
1,1,1,1,1
2,2,1,1,1
1,1,1,1,1
2,2,1,1,2
2,1,1,1,2
1,1,1,2,1
1,1,1,1,1
1,1,2,1,1
1,1,1,1,1
1,1,1,2,1
2,1,1,1,2
1,1,1,1,1
1,1,1,2,2
2,1,1,2,2
2,1,1,2,2
2,2,2,2,2
2,2,1,2,1
2,2,1,2,2
2,2,1,2,2
2,2,1,2,2
1,1,2,1,1
2,2,1,1,2
2,1,1,2,2
1,1,1,1,1
2,2,1,2,2
2,2,1,2,2
2,1,1,2,1
1,1,1,1,1
1,1,1,1,1
1,1,2,2,1
2,2,1,1,2
2,2,1,2,2
2,2,1,2,2
2,2,2,2,2
2,1,2,2,2
2,1,1,1,1
1,1,1,1,1
2,2,2,1,2
1,1,2,1,1
2,2,1,2,2
2,1,1,2,2
2,1,1,2,2
1,2,1,1,1
1,1,1,2,1
1,2,2,1,1
2,1,2,2,2
1,2,2,1,1
2,2,1,2,2
2,2,2,2,2
1,1,1,2,1
2,2,2,2,2
1,1,1,1,1
2,1,1,2,2
2,2,2,2,2
2,1,2,2,2
2,2,2,2,1
2,1,2,2,2
1,1,1,1,1
2,1,1,2,2
2,1,2,2,2
2,2,2,2,2
2,2,2,1,2
2,2,2,2,2
2,1,2,1,2
2,2,1,2,2
1,1,1,1,1
1,1,2,1,1
2,1,1,1,2
2,1,1,2,2
1,1,1,2,1
2,1,1,2,2
1,1,2,1,1
2,1,2,2,2
1,1,2,1,1
1,1,1,1,1
1,1,1,1,1
2,1,1,2,2
2,2,1,2,2
1,2,1,2,1
2,1,1,1,1
2,1,1,1,2
2,1,2,2,2
2,2,1,2,2
1,1,1,1,1
1,1,1,1,1
2,1,2,2,2
2,1,1,1,1
2,2,1,2,2
2,2,1,2,2
2,1,2,2,2
2,2,1,2,1
1,1,1,2,1
1,1,1,2,1
2,1,1,2,2
2,1,2,2,1
1,1,2,1,1
2,1,1,1,2
1,1,2,1,1
1,1,1,2,1
2,2,1,2,2
2,2,1,2,2
2,1,1,2,1
2,1,2,2,2
2,2,1,2,2
1,1,1,1,1
2,1,1,2,1
2,1,1,2,2
2,1,1,2,2
2,1,1,2,2
2,2,1,2,2
2,1,1,2,1
2,2,2,2,2
1,1,1,1,1
1,1,2,2,1
2,1,1,2,2
2,1,1,2,1
2,2,2,1,2
2,2,1,1,2
2,1,2,1,2
2,2,1,2,1
2,1,2,2,2
2,2,1,2,2
1,1,1,2,1
2,1,1,2,2
2,2,1,2,2
2,1,1,2,2
1,1,1,1,1
2,1,1,1,1
2,1,2,1,1
2,1,2,2,2
1,1,1,1,1
2,1,1,2,2
2,2,1,2,2
2,1,2,1,2
2,1,1,2,2
2,1,1,2,2
2,2,1,2,2
2,1,2,2,2
2,1,1,2,2
