Team,Scoring Margin,eFG%,SPG+BPG,Rebound Margin,Win Percentage
A&M-Corpus Christi (Southland),0.9055944055944056,0.47723765432098764,9.958333333333334,0.9390804597701149,0.2631578947368421
Abilene Christian (Southland),1.2527096406160867,0.5117009132420092,12.689655172413794,1.0629441624365483,4.8
Air Force (Mountain West),0.8164627363737486,0.5205128205128206,9.56,0.6682080924855491,0.25
Akron (MAC),1.083132530120482,0.5204946996466431,8.565217391304348,1.069295101553166,1.875
Alabama A&M (SWAC),1.1366191093817553,0.5167058823529411,12.818181818181818,1.0709728867623605,3.7142857142857144
Alabama St. (SWAC),0.9424603174603174,0.4475806451612903,9.066666666666666,0.9914089347079038,0.6666666666666666
Alabama (SEC),0.8975155279503105,0.4345887016848365,8.5,0.9645494830132939,0.2857142857142857
Albany (NY) (America East),1.0100090991810737,0.5050962627406569,7.9375,0.9195402298850575,0.7777777777777778
Alcorn (SWAC),0.8740431454418929,0.44399277326106595,9.157894736842104,0.9170437405731523,0.46153846153846156
American (Patriot),0.938858695652174,0.526032315978456,12.0,0.9287749287749287,0.6666666666666666
App State (Sun Belt),1.096236559139785,0.4777843601895735,11.620689655172415,1.0323529411764707,1.4166666666666667
Arizona St. (Pac-12),1.099831744251262,0.5053619302949062,9.846153846153847,1.227832512315271,1.8888888888888888
Arizona (Pac-12),0.964193046185781,0.49207920792079207,10.56,0.804040404040404,0.7857142857142857
Ark.-Pine Bluff (SWAC),0.8063508589276418,0.43178466076696165,10.2,0.8752711496746204,0.19047619047619047
Arkansas St. (Sun Belt),1.1501766784452296,0.5077257363592468,12.78125,1.111013986013986,3.5714285714285716
Arkansas (SEC),1.044391121775645,0.5021582733812949,9.416666666666666,1.1066997518610422,0.8461538461538461
Army West Point (Patriot),1.0320470896010465,0.5233281493001555,7.7272727272727275,0.9819354838709677,1.2
Auburn (SEC),1.0096899224806202,0.5119778869778869,12.25925925925926,1.0846938775510204,0.9285714285714286
Austin Peay (OVC),1.061904761904762,0.5132962275819418,8.777777777777779,1.0863477246207702,1.0769230769230769
Ball St. (MAC),0.9902073732718893,0.5133670520231214,7.869565217391305,0.9780853517877739,0.7692307692307693
Baylor (Big 12),1.2662932790224033,0.5654825026511134,12.6,1.1345951629863302,14.0
Belmont (OVC),1.1759884281581485,0.5628758884636413,10.633333333333333,1.0161137440758294,6.5
Binghamton (America East),0.9047619047619048,0.48893166506256014,8.055555555555555,1.0078492935635792,0.2857142857142857
Boise St. (Mountain West),1.1359743040685224,0.52203182374541,9.392857142857142,1.088621444201313,2.111111111111111
Boston College (ACC),0.8974842767295598,0.4974704890387858,11.0,0.8975741239892183,0.25
Boston U. (Patriot),0.9383921863260706,0.4961352657004831,8.5,1.0495049504950495,0.6363636363636364
Bowling Green (MAC),1.0391954615781331,0.47950346420323325,9.26923076923077,0.9737098344693281,1.1666666666666667
Bradley (MVC),1.0450643776824033,0.508557457212714,8.714285714285714,1.095440084835631,0.75
Bryant (NEC),1.1075721153846154,0.5408163265306123,10.454545454545455,1.0318021201413428,2.142857142857143
Bucknell (Patriot),0.96875,0.5197657393850659,9.333333333333334,0.90744920993228,0.7142857142857143
Buffalo (MAC),1.115743280307186,0.5135379061371841,12.08,1.2292134831460675,1.7777777777777777
Butler (Big East),0.9248689574839837,0.4748743718592965,7.6,0.9516509433962265,0.6666666666666666
BYU (WCC),1.1381543443065298,0.5559701492537313,7.407407407407407,1.2063854047890537,2.857142857142857
Cal Poly (Big West),0.8676470588235294,0.4543726235741445,9.708333333333334,0.8654060066740823,0.2
Cal St. Fullerton (Big West),0.9801113762927606,0.5210304942166141,8.6875,0.9084628670120898,0.6
California (Pac-12),0.9447211155378487,0.4967447916666667,6.586206896551724,0.9744952178533475,0.45
Campbell (Big South),1.0418478260869566,0.5652945351312988,8.37037037037037,0.8579418344519015,1.7
Canisius (MAAC),0.9891891891891892,0.47010178117048346,9.076923076923077,0.9473684210526315,1.1666666666666667
Central Ark. (Southland),0.8799793067770305,0.4978386167146974,7.708333333333333,1.044496487119438,0.2631578947368421
Central Conn. St. (NEC),0.8855384615384615,0.4853658536585366,9.476190476190476,0.8087697929354446,0.3125
Central Mich. (MAC),0.9623978201634877,0.49894142554693016,11.08695652173913,0.9359550561797753,0.4375
Charleston So. (Big South),0.8870967741935484,0.47377326565143824,10.0,0.9445843828715366,0.16666666666666666
Charlotte (C-USA),0.9514388489208633,0.4888977002379064,8.36,0.9761904761904762,0.5625
Chattanooga (SoCon),1.048306496390894,0.5098554533508541,8.692307692307692,0.9713340683572216,2.25
Chicago St. (WAC),0.62531328320802,0.4134808853118712,6.888888888888889,0.612565445026178,0.0
Cincinnati (AAC),0.9553948161543099,0.4835698282300224,10.521739130434783,1.04911838790932,1.0909090909090908
Clemson (ACC),1.0484522207267832,0.4996220710506425,8.958333333333334,0.9949174078780177,2.0
Cleveland St. (Horizon),0.9958376690946931,0.5051347881899871,9.518518518518519,0.9769874476987448,2.375
Coastal Carolina (Sun Belt),1.1658206429780034,0.5252493765586035,12.153846153846153,1.2943871706758305,2.25
Col. of Charleston (CAA),1.0090293453724606,0.525328330206379,8.052631578947368,0.978021978021978,0.9
Colgate (Patriot),1.2235188509874326,0.5661691542288557,10.5,1.1372549019607843,7.0
Colorado St. (Mountain West),1.1459353574926543,0.5236784140969163,7.96875,1.1357142857142857,2.5555555555555554
Colorado (Pac-12),1.1074291822554783,0.5419921875,8.535714285714286,1.0265957446808511,2.5
Coppin St. (MEAC),0.9201608271108558,0.486013986013986,11.772727272727273,0.7750730282375852,0.6923076923076923
Creighton (Big East),1.1134751773049645,0.5502148227712137,10.290322580645162,0.9744942832014072,2.4444444444444446
CSU Bakersfield (Big West),1.0876876876876878,0.49444807315480077,9.423076923076923,1.2855227882037534,1.3636363636363635
CSUN (Big West),0.9280280866003511,0.4875283446712018,8.5,0.8859223300970874,0.6923076923076923
Davidson (Atlantic 10),1.1190644932671865,0.5609555189456342,7.7272727272727275,1.150227617602428,1.4444444444444444
Dayton (Atlantic 10),1.0288875230485557,0.5548387096774193,6.458333333333333,0.9937264742785445,1.4
Delaware St. (MEAC),1.0009881422924902,0.5050441361916772,8.2,1.0728744939271255,0.875
Delaware (CAA),0.8256599140577041,0.45984784446322907,10.105263157894736,0.8681177976952625,0.1875
Denver (Summit League),0.8820697954271961,0.5029863481228669,8.285714285714286,0.8808864265927978,0.10526315789473684
DePaul (Big East),0.9144111192392099,0.4614384748700173,10.736842105263158,1.0027972027972027,0.35714285714285715
Detroit Mercy (Horizon),1.034419176398279,0.5507751937984496,9.272727272727273,0.9638069705093834,1.2
Drake (MVC),1.1775887943971985,0.5415335463258786,9.935483870967742,1.1582213029989659,5.2
Drexel (CAA),1.0437685459940653,0.5331818181818182,6.95,1.1359060402684564,1.5
Duke (ACC),1.0660432495616599,0.5358350236646383,12.75,1.0519159456118665,1.1818181818181819
Duquesne (Atlantic 10),0.9975165562913907,0.47644230769230766,11.166666666666666,1.007704160246533,1.0
East Carolina (AAC),0.9829589465530596,0.4602376599634369,9.263157894736842,0.9588839941262849,0.7272727272727273
Eastern Ill. (OVC),0.9263470093919921,0.4929143561306223,10.407407407407407,0.9614213197969543,0.5
Eastern Ky. (OVC),1.1099672437997192,0.5192702980472764,13.862068965517242,0.902972027972028,3.142857142857143
Eastern Mich. (MAC),0.9302496328928047,0.4753946146703807,11.166666666666666,0.8748159057437408,0.5
Eastern Wash. (Big Sky),1.1118343195266271,0.5396491228070175,7.708333333333333,1.0314389359129383,2.0
Elon (CAA),1.011336032388664,0.48523985239852396,7.7368421052631575,1.0267716535433071,1.1111111111111112
ETSU (SoCon),1.049576783555018,0.5088276836158192,9.88,1.0899149453219927,1.0833333333333333
Evansville (MVC),0.9304597701149425,0.5319476520400308,7.12,0.8375,0.5625
Fairfield (MAAC),0.9266666666666666,0.4543269230769231,6.925925925925926,1.0247844827586208,0.5882352941176471
Fairleigh Dickinson (NEC),0.9529100529100529,0.5181564245810056,11.458333333333334,0.9145106861642295,0.6
FGCU (ASUN),1.040257648953301,0.4937833037300178,11.722222222222221,1.037037037037037,1.25
FIU (C-USA),0.9642317380352645,0.5152743142144638,12.461538461538462,0.8522613065326633,0.5294117647058824
Fla. Atlantic (C-USA),1.1685100845803513,0.5418736692689851,10.347826086956522,1.240320427236315,1.3
Florida A&M (MEAC),1.0552077404667046,0.531272210376688,12.44,1.0613718411552346,1.5
Florida St. (ACC),0.9591240875912409,0.48623445825932504,9.0,1.0014124293785311,0.6666666666666666
Florida (SEC),1.115028901734104,0.5400410677618069,12.36,1.1113801452784504,2.5714285714285716
Fordham (Atlantic 10),0.7778969957081545,0.41410614525139666,8.214285714285714,0.7717996289424861,0.16666666666666666
Fresno St. (Mountain West),0.9833127317676144,0.4918541505042669,9.5,1.1020671834625324,1.0
Furman (SoCon),1.1549622751015671,0.5677118078719147,11.56,1.0654545454545454,1.7777777777777777
Ga. Southern (Sun Belt),1.0556186152099887,0.509765625,11.961538461538462,1.0782997762863535,1.0
